Motor torpedo boat
Rugby;Rugby
Revolver;Revolver
Key;clé
Underpants;sous-vêtement
Riding instructor;moniteur d'équitation
Picnic table:table de picnic
Summit;sommet (montagne)
Bobsleigh;bobsleigh
Sledding;luge
Toboggan;toboggan
Sweater;sweater
Recumbent bicycle;Vélo couché
combat;sport de combat
Speed skating;patinage de vitesse
Figure skating;patinage artistique
Billiard table;table de billard
pool;piscine
Billiards;billards
Billiard room;salle de billard
Sackbut;sacqueboute (instrument)
Cape;cape
Mantle;manteau
Cyclo-cross bicycle;cyclo-cross
Whaler;whaler (bateau)
Picket fence;palissade
Hovercraft;aéroglisseur
Open-wheel car;monoplace (voiture)
Formula libre;Formule Grand Prix
Freeway;autoroute
Bmx racing;course BMX
Skipping rope;corde à sauter
Open water swimming;piscine de plein air
Bathing;bains
Swimmer;nageur
Triathlon;triathlon
Mountain bikin;VTT
Field house;complexe sportif
Balance;équilibre
Yatch;yatch
General aviation;aviation
Trench coat;trench-coat
Runway;tarmac
Wrestling;lutte
Briefs;slip
Flood;inondation
Tennis court;court de tennis
Surfing;surf
Trousers;pantalons
Bicycles--Equipment and supplies;équipement pour bicyclette
Mask;masque
Washing;lavage
Leotard;justaucorps
Sportswear;vêtements de sport
Swimming;natation
Plasterer;plâtrier
Golf;golf
Camelid;camélidés
Windsports;sports nautiques
Friendship sloop;Friendship sloop (bateau)
Dressage;dressage
Hot rod;hot rod (voiture)
Acrobatics;acrobatie
Speedboat;vedette (bateau)
Powerboating;bateau à moteur
York boat;York boat (bateau)
Majorette (dancer);majorette
Baseball bat;batte de baseball
Baseball player;joueur de baseball
Gymnastics;gymnastique
T'ai chi ch'uan;tai-chi-chuan
Gull;mouette
Discus throw;lancer du disque
Shot put;lancer du poids
Hammer throw;lancer du marteau
Pitcher;lanceur (baseball)
Sports uniform;tenue de sport
Golfer;golfeur
Golf club;club de golf
Golf equipment;équipement de golf
Bat-and-ball games;jeu de batte et balle
Eventing;concours complet d'équitation
Baton twirling;twirling (sport)
Membrane-winged insect;insecte ailé
Soccer player;joueur de football
Marathon;marathon
Convertible;cabriolet (voiture)
Cycle ball;cycle-ball (sport)
Horse grooming;pansage (cheval)



Gliding;vol plané
Motorcycle racing;course motocycliste
Motorcycle speedway;speedway (course motocycliste)
Track cycling;cyclisme sur piste
Road cycling;cyclisme sur route
Slope;pente
Alps;Alpes
Race track;circuit de course
High jump;saut en hauteur
Bicycle tire;pneu de bicyclette
Bicycle stem;potence de bicyclette
Saddle;selle
Football;football
Pump;pompe
Gear shaper;machine à engrenages
Experimental aircraft;avion expérimental
Railway;chemin de fer
Halter;licou
Father;père
Steeplechase;steeple-chase (sport hippique)
State school;école publique
Turbine;turbine
Jet engine;moteur à réaction
Carousel;manège
Greyhound racing;course de lévriers
Equitation;équitation
Dirt road;route de terre
Board track racing;course de board track
Boxing equipment;équipement de boxe
Air sports;sports aériens
wakeboarding;wakeboarding
Exercise;exercice physique
Weight training;musculation
Rugby league;rugby
Savate;savate (boxe)
Individual sports;sport individuel
Combat sport;sport de combat
Unicycle;monocycle
Tennis racket;raquette de tennis
Rackets;jeu de raquettes
Racing;course
Professional boxer;boxeur professionnel
Baseball;baseball
Soccer;football
Rugby player;joueur de rugby
Tackle;tacle
Tournament;tournoi
goal;but
Cricket;cricket
Basque pelota;pelote basque
Pesäpallo;pesäpallo
Referee;arbitre
Stick and Ball Games;jeux avec balle et bâton
Hockey;hockey
Shinty;shinty
Convoy rescue ship;navire de sauvetage
Real tennis;courte-paume
Football player;joueur de football
Soccer ball;ballon de football
Basketball court;terrain de basketball
Play;jeu
Boats and boating--Equipment and supplies;équipement pour bateau
Ocean rowing;course au large
canoe;canoë
Hawker dragonflies;libellules
Barechested;torse nu
Hurdling;saut d'obstacle
Obstacle race;course d'obstacle
Wing chun;Wing chun (art martial)
Coupé;coupé (voiture)
Fencing;escrime
duel;duel
Kick;coup de pied
Pankration;pancrace
Undergarment;sous-vêtement
Cyclo-cross;cyclo-cross
Racing;course
Swim brief;slip de bain
Sloop;sloop (voilier)
Dinghy;dinghy
Throwing;lancé
Barefoot;pied nu
Catch wrestling;catch
Wrestler;lutteur
Keirin;keirin (cyclisme sur piste)
French bulldog;bouledogue français
Boxer;boxer
pug;carlin (chien)
Bulldog;bouledogue
Arête;arête$$
massif;massif montagneux
Alluvial fan;cône alluvial
Track and field athletics;athlétisme
Sports collectible;souvenirs sportifs
Shorts;short
Weightlifting;haltérophilie
Volleyball;volleyball
Lacrosse;crosse (sport)
Balloon;ballon
Ball;balle
Long jump;saut en longueur
Javelin throw;lancer du javelot
Pole vault;saut à la perche
Sōjutsu;sōjutsu
Javelin;javelot
Spear;lance
Lucha libre;catch mexicain
Horse racing;sport hippique
Ballroom dance;danse de salon
Tango;tango
Long-distance running;course de fond
Cross country running;cross country
Jogging;jogging
Extreme sport;sport extrême
Rope climbing;grimper de corde
Outdoor play equipment;terrain de jeu
Flip (acrobatic);saut acrobatique
Modern dance;danse moderne
Artistic gymnastics;gymnastique artistique
Stretching;stretching
Kung fu;kung-fu (art martial)
Grappling;grappling (lutte)
Playground;terrain de jeu
Net sports;sport avec filet
Field hockey;hockey sur gazon
Ice hockey;hockey sur glace
Hound trailing;course de chiens
Ballet;ballet
Pointe shoe;chausson de pointe
Boxing glove;gant de boxe
Greyhound;lévrier anglais
Canoeing;canotage
Bicycle pedal;pédale de bicyclette
Road bicycle racing;cyclisme sur route
Sprint;sprint
Poncho;poncho
Parachuting;parachutisme
Propeller-driven aircraft;avion à hélice
Aerospace manufacturer;constructeur aérospatial
Non-commissioned officer;sous-officier
Fighter pilot;pilote de combat
Atmospheric phenomenon;phénomène atmosphérique
Admiral;amiral
Telescope;télescope
Q-ship;navire-leurre
Triplane;triplan
Gesture;geste
Terrier;terrier (chien)
Waist;taille
Sports car;voiture de sport
Bovine;bovin
Working animal;animal de trait
Blue-collar worker;col bleu
City car;voiture de ville
Frock coat;redingote
Whale;baleine
Cetacea;cétacé
Airport;aéroport
Shooting sport;tir sportif
Shooting;tir
Hip;hanche
Self-portrait;autoportrait
contact sport;sport de contact
bicycle motocross;BMX (sport)
labyrinth;labyrinthe
weights;poids
exercise equipment;matériel d'exercice
tandem bicycle;tandem (bicyclette)
ostrich;autruche
baguazhang;baguazhang (art martial)
back;dos
bearing;palier (roulement)
boot;chaussure
man of war;man of war (navire)
pallone;pallone (jeu de paume)
Petite;menue (femme)
Viollet;violet
volcanic plug;relief volcanique
abbess;abbesse
abbey;abbaye
abdomen;abdomen
academic certificate;certificat académique
academic dress;robe académique
acrylic paint;peinture acrylique
action figure;figurine
adventure;aventure
advertising;publicité
aeolian landform;relief éolien
aerial photography;photographie aérienne
aerospace engineering;aérospatiale
aerostat;aérostat
african elephant;éléphant d'Afrique
agricultural machinery;machines agricoles
agriculture;agriculture
air force;aviation
air gun;pistolet à air
air raid shelter;abri anti-aérien
air travel;voyage en avion
aircraft;avion
aircraft engine;moteur d'avion
airline;compagnie aérienne
airliner;avion de ligne
airplane;avion
airship;dirigeable
aisle;rayon
album;album
album cover;couverture d'album
alcohol;alcool
alcoholic beverage;boisson alcoolisée
alley;ruelle
alloy wheel;jante en alliage
almshouse;maison de charité
altar;autel
ammunition;munition
amphibious assault ship;navire d'assaut amphibie
amphibious transport dock;quai de transport amphibie
amphitheatre;amphithéâtre
amusement park;parc d'attractions
amusement ride;manège
anchor;ancre
ancient history;histoire ancienne
ancient roman architecture;architecture romaine
ancient rome;Rome antique
angel;ange
angle;angle
animal migration;migration animale
animal sports;sport animalier
anime;animé
antelope;antilope
antique;antique
antique car;voiture ancienne
antler;ramure
apartment;appartement
aqueduct;aqueduc
arabian camel;chameau arabe
arcade;arcade
arch;arche
arch bridge;pont en arc
archaeological site;site archéologique
archaeology;archéologie
archdeacon;archidiacre
architecture;architecture
arctic;Arctique
area;surface
arecales;Arecales (plante)
arena;arène
arm;bras
armored car;voiture blindée
armored cruiser;croiseur blindé
armour;armure
army;armée
army men;homme armé
art;art
art exhibition;exposition d'art
art gallery;galerie d'art
art model;modèle vivant
art paper;papier d'art
arthropod;arthropode
artifact;artefact
artisan;artisan
artwork;ouvrages d'art
ash;cendre
asphalt;asphalte
assault rifle;fusil d'assaut
assembly line;ligne d'assemblage
astronomical object;objet astronomique
athlete;athlète
athletics;athlétisme
atlas;atlas
atmosphere;atmosphère
atmosphere of earth;atmosphère terrestre
audience;public
audio;audio
auditorium;salle
auto part;pièce automobile
autograph;autographe
autoharp;autoharpe
automotive design;conception automobile
automotive engine part;partie de moteur automobile
automotive exterior;carrosserie
automotive ignition part;pièce d'allumage
automotive piston part;piston
automotive tire;pneu (automobile)
automotive wheel system;roue (automobile)
auxiliary ship;navire auxiliaire
aviation;aviation
backyard;arrière-cour
badge;badge
badlands;badlands
bag;sac
bailey bridge;pont Bailey
bakerschocolate;chocolat à pâtisser
ball bearing;roulement à billes
ball game;jeu de balle
ballet dancer;danseuse de ballet
ballistic missile submarine;sous-marin à missile balistique
baltimore clipper;clipper Baltimore (bateau)
baluster;balustre
bandy;bandy (hockey russe)
bank;banque
banknote;billet de banque
banner;bannière
banquet;banquet
bar;bar
barechestedness;torse nu
barn;grange
barque;barque
barquentine;trois-mâts goélette
barrel;baril
barrister;avocat
bartitsu;bartitsu (art martial)
baseball equipment;équipement de baseball
baseball positions;positions de baseball
basilica;basilique
basket;panier
basketball;basketball
basketball player;joueur de basketball
bat;chauve souris
bathroom;salle de bains
bathroom accessory;accessoire de salle de bain
battle;bataille
battlecruiser;croiseur de bataille
battleship;bataille navale
bay;baie
bayou;bayou
beach;plage
bead;perle
beak;bec
beam;faisceau
beam bridge;pont à piles
bear;ours
beard;barbe
beauty;beauté
bed;lit
bed frame;cadre de lit
bed sheet;drap de lit
bedrock;substrat rocheux
bedroom;chambre
beer;bière
beer bottle;bouteille de bière
beige;beige
bell;cloche
bell tower;clocher
bench;banc
benchrest shooting;banc de tir
bicycle;vélo
bicycle accessory;accessoire de vélo
bicycle drivetrain part;transmission de vélo
bicycle frame;cadre de vélo
bicycle part;équipement de bicyclette
bicycle racing;course de vélo
bicycle saddle;selle de bicyclette
bicycle wheel;roue de bicyclette
big cats;félins
biome;biome
biplane;biplan
birch;bouleau
bird;oiseau
bird of prey;oiseau de proie
bird's eye view;vue d'oiseau
bishop;évêque
bison;bison
bit;bit
black;noir
black and white;noir et blanc
blackboard;tableau noir
blade;lame
blazer;veste
blimp;dirigeable
blizzard;blizzard
blue;bleu
blue and white porcelain;porcelaine bleue et blanche
blue collar worker;col bleu
blueviolet;bleu violet
boarding house;pension de famille
boardwalk;promenade
boat;bateau
boating;navigation de plaisance
boats and boating equipment and supplies;bateau et matériel de navigation de plaisance
body jewelry;bijoux de corps
body man;corps d'homme
body of water;plan d'eau
bodybuilder;carrossier
bodybuilding;musculation
bomb;bombe
bombard;bombarde (canon)
bomber;bombardier
bone;os
book;livre
bottle;bouteille
boutique;boutique
box;boîte
box girder bridge;pont à caissons
boxing;boxe
boxing ring;ring de boxe
boy;garçon
bracelet;bracelet
brain;cerveau
branch;branche
brand;marque
brass;laiton
brass instrument;instrument à vent
breakwater;digue
brick;brique
bricklayer;maçon
brickwork;maçonnerie
bridal accessory;accessoire de mariée
bridal clothing;vêtements de mariée
bridal veil;voile de mariée
bride;mariée
bridge;pont
bridle;bride
brig;brick (bateau)
brigantine;brigantine
bronze;bronze
