Dog Racing;course de chiens
giant kangaroo;kangaroo géant
kangaroo;kangaroo
greasepaint makeup;maquillage de théâtre
makeup;maquillage
cliff diving;plongeon de haut vol
trunk;tronc
soccer (football) stadium;stade de football
settlement house;foyer
holding pen;stylo
Tennis Court;terrain de tennis
inertial guidance system;système de guidage inertiel
shovelhead;Shovelhead (moteur)
hammerhead;requin-marteau
mako shark;requin mako
mackerel shark;Lamniformes (requin)
narwhal;narval
barricade;barricade
topsail (of sail ship);hunier (voile)
gaff-headed sail;voile à corne
epergne (centerpiece);épergne
urn;urne
rake;râteau
garden rake;râteau de jardin
trencher;trancheuse
false face;faux visage
cricket equipment;équipement de cricket
cricket bat;batte de cricket
professional football;football américain
brim (of hat);bord (chapeau)
gyroscope;gyroscope
cone;cône
manhole;plaque d'égout
jumping;saut
soccer (football) stadium;stade de football
ballet enthusiast;amateur de danse
bloodhound dog;chien de Saint-Hubert
Baseball Field;terrain de base-ball
badminton court;terrain de badminton
high-rise building;immeuble de grande hauteur
flip (diving);plongeon arrière
tennis player;joueur de tennis
MANPAD;missile sol-air portable
wheel and axle;roue et essieu
bridle path;allée cavalière
shot putter;lancer du poids
toggle joint;joint à bascule
Soccer Field;terrain de footbal
Beach Volleyball;beach volley
Pole Vault;saut à la perche
roof;toiture
wing chair;fauteuil à oreilles
velour fabric;tissu velours
person in kilt;personne en kilt
tambourine (drum like music instrument);tambourin
cobra;cobra (serpent)
pintle (bolt);
berth (build in bed);couchette
cargo door;porte de cargo
fiberscope;fibroscope
loving cup;coupe d'amour
hollowware (silverware);argenterie
yam;igname
Percheron horse;Percheron (cheval)
geologist;géologiste
chicken yard;poulailler
elder statesman;homme politique
Heavy Truck;poids lourd
yard;cour
Kayaking;kayak
potato;pomme de terre
Potatoes;pomme de terre
minicar;microvoiture
komondor dog;komondor (chien)
Stinger missile;missile Stinger
armet (helmet);armet (casque)
barouche (carriage);barouche (calèche)
water;eau
inkstand;écritoire
naval missile;missile de croisière naval
Mountain Path;chemin de montagne
professional boxing;boxe professionelle
fast reactor;réacteur à neutrons rapides
collider (particle accelerator);accélérateur de particules
shipping;transport maritime
Treasury;trésorerie
vox human (musical instrument)a;voix humaine
dump truck;camion benne
swamp birch;bouleau jaune
birch;bouleau
grey birch;bouleau gris
Repairing;réparation
diastema (human face and teeth);diastème
cutworm;vers gris
puff adder snake;vipère heurtante
admiral butterfly;vulcain (papillon)
fall armyworm moth larva;Légionnaire d'automne (papillon)
spring cankerworm;ver du chancre
