person;personne
bicycle;vélo
car;voiture
motorbike;moto
aeroplane;avion
bus;bus
train;train
truck;camion
boat;bateau
traffic_light;feu de signalisation
fire_hydrant;bouche d'incendie
stop_sign;stop (panneau)
parking meter;parcmètre
meter;parcmètre
bench;banc
bird;oiseau
cat;chat
dog;chien
horse;cheval
sheep;mouton
cow;vache
elephant;éléphant
bear;ours
zebra;zèbre
giraffe;girafe
backpack;sac à dos
umbrella;parapluie
handbag;sac à main
tie;cravate
suitcase;valise
frisbee;frisbee
skis;ski
snowboard;snowboard
sports_ball;sport de balle
kite;cerf-volant
baseball_bat;batte de baseball
baseball_glove;gant de baseball
glove;gant
skateboard;skateboard
surfboard;planche de surf
tennis_racket;raquette de tennis
bottle;bouteille
wine_glass;verre à vin
cup;tasse
fork;fourchette
knife;couteau
spoon;cuillère
bowl;bol
banana;banane
apple;pomme
sandwich;sandwich
orange;orange
broccoli;broccoli
carrot;carotte
hot_dog;hot dog
pizza;pizza
donut;beignet
cake;gâteau
chair;chaise
sofa;sofa
pottedplant;plante en pot
bed;lit
diningtable;table à manger
toilet;toilette
tvmonitor;moniteur (écran)
laptop;ordinateur portable
mouse;souris
remote;télécommande
keyboard;clavier
cell_phone;téléphone mobile
microwave;micro-onde (four)
oven;four
toaster;grille-pain
sink;évier
refrigerator;réfrigérateur
book;livre
clock;montre
vase;vase
scissors;ciseaux
teddy_bear;ours en peluche
hair_drier;sèche-cheveux
toothbrush;brosse à dents
